"dataset","pool","n","target_c","M","formal_bp_sha256","redistribution_status","public_relative_path","reason"
"Leukemia","0","72","2","20","ddfe734d8536b78098385371894e671a0de4574e6604b73bc80b4f3bac70e687","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Leukemia","1","72","2","20","3d2168b1cfe953557c64188bf2950f386f4868e047b00d32027d3e8cf4eccd49","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Leukemia","2","72","2","20","e70f27de72593649913c0537c2e8331807cbbefb1ba92df3992786df11cc6d35","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Leukemia2","0","72","3","20","0b415b0f5cae4503ff3111c5ebb7596fbe130d93ad228f3a3ad906cb4a327f66","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Leukemia2","1","72","3","20","34aa0fd1586bcbec6cf2c4ffc2f2fef3fbfb86087bfc25572b988c05961e70d8","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Leukemia2","2","72","3","20","ea9800cb96610ada9d4963f62a725b2116329005e90b56dc8c3bffcdc6e3614e","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"Mushroom","0","8124","2","20","bcb2fdeeba5407fb9a96b0dbc2cfe16ef8ef540a4bcdc6ed996b2c12c0e3353d","PUBLIC_CC_BY_4_0","frozen_bp/mushroom/pool0.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
"Mushroom","1","8124","2","20","cd8a189a0c8f7c35e61b9be18d85fc0356bdac9a6b9a9f6071e8fdd1e19930c6","PUBLIC_CC_BY_4_0","frozen_bp/mushroom/pool1.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
"Mushroom","2","8124","2","20","b57b2c1c3d30f8b103baa240fe84b0be08e9269e6362928bc789e16b4c08490b","PUBLIC_CC_BY_4_0","frozen_bp/mushroom/pool2.npz","Official UCI dataset record states CC BY 4.0; exact formal NPZ redistributed with attribution."
"ORL","0","400","40","20","f2588b2ea07b34d6aa333abeb092ef620e93b84692c3fb122da179450a46572f","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"ORL","1","400","40","20","8d080deb9c8743bd73ca09a870ee42a748728429ac011eb7bf7516f5568ae47f","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
"ORL","2","400","40","20","f33388c9b51681ece93d7414d3b04d5a7fe5ba476b1b72fdcfae458331b0b846","HASH_ONLY","","Exact local benchmark/BP redistribution chain not fully cleared; identity retained by SHA-256 only."
