"canonical_name","project_name","benchmark_group","n","c","source","version_subset","preprocessing","local_alias","sha256","candidate52","core10","identity_status","formal_name_status","source_status","processed_artifact_status","license_or_redistribution_status","bp_origin","data_format","provenance_risk","notes"
"BBC-MV","BBC-MV","TEXT_MV","685","5","http://mlg.ucd.ie/datasets/bbc.html","n=685; c=5; format=hdf5_mat","per-view invalid median replacement; constant removal; z-score","bbc_mv","9779893ebbc832a8873eb087170469b93c0def0d7404deec85f10dcaae1afd33","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","hdf5_mat","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"BBCSport-MV","BBCSport-MV","TEXT_MV","544","5","http://mlg.ucd.ie/datasets/bbc.html","n=544; c=5; format=hdf5_mat","per-view invalid median replacement; constant removal; z-score","bbcsport_mv","e8038df1d2f6db1dfcefe8d0fb27069cf748341eda47b9a497dc8f1ae2804779","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","hdf5_mat","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Caltech101-20","Caltech101-20","NEW10","2386","20","https://data.caltech.edu/records/mzrjq-6wc02","n=2386; c=20; format=public MATLAB BP pools (BPs,Y)","none; full 20-partition mixed pool consumed directly","caltech101_20","","true","true","OFFICIAL_RAW_SOURCE_VERIFIED_EXACT_20CLASS_BP_ARTIFACT_NOT_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_RAW_SOURCE_VERIFIED_EXACT_20CLASS_BP_ARTIFACT_NOT_VERIFIED","LOCAL_BKCC_ARCHIVE_ENTRY_VALIDATED_BY_SIZE_AND_CRC","CALTECHDATA_RECORD_AVAILABLE; DERIVED_SUBSET/BP REDISTRIBUTION NOT_CLEARED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","public MATLAB BP pools (BPs,Y)","MEDIUM","Raw source is official. The 2386-sample 20-class subset and supplied BP files require separate artifact-level provenance."
"Caltech101-20-MV","Caltech101-20-MV","TEXT_MV","2386","20","https://github.com/yeqinglee/mvdata","n=2386; c=20; format=hdf5_mat","per-view invalid median replacement; constant removal; z-score","caltech101_20_mv","beb853f12dd2b459c9ef3ca4a7674061b1ae241d724cd21ba50e3eebb0669091","true","false","PUBLIC_MULTIVIEW_COLLECTION_REPOSITORY_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_MULTIVIEW_COLLECTION_REPOSITORY_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","COLLECTION/DATA LICENSE NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","hdf5_mat","HIGH","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Cardiotocography","Cardiotocography","NEW10","2126","10","https://archive.ics.uci.edu/dataset/193/cardiotocography","n=2126; c=10; format=XLS","per-view invalid median replacement; constant removal; z-score","cardiotocography","d6aa62e82625e59f9d5b05bc8fc52af9ea67bdf2a23f1faca8511d5618fcb421","true","false","OFFICIAL_UCI_PAGE_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_UCI_PAGE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","CC BY 4.0 (UCI record)","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","XLS","LOW","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Chameleon","Chameleon","GRAPH_GEOMETRY_8","2277","5","https://github.com/bingzhewei/geom-gcn/tree/f1fc0d14b3b019c562737240d06ec83b07d16a8f/new_data/chameleon","n=2277; c=5; format=Geom-GCN indexed text","feature: constant removal,row-L2,TruncatedSVD<=300,z-score; graph: max-symmetrize,remove diagonal,normalized spectral","chameleon","ab170b08e7e3d87f4cfde388b2ec0467dfef95eae9d778655176e6a820e49566","true","true","PINNED_PUBLIC_FILES_VERIFIED_LOCAL_HASHES_RECORDED","PROJECT_NAME_RETAINED","PINNED_PUBLIC_FILES_VERIFIED_LOCAL_HASHES_RECORDED","LOCAL_RAW_FILES_AND_BUNDLE_SHA256_RECORDED_GENERATED_BP_PROTOCOL_FIXED","REPOSITORY/DATA LICENSE NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","Geom-GCN indexed text","MEDIUM","Pinned directory identity is strong; redistribution permission for dataset files remains unresolved."
"CiteSeer","CiteSeer","CONTENT_RELATION_8","3312","6","https://linqs.org/datasets/#citeseer","n=3312; c=6; format=MATLAB v7.3/HDF5","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","citeseer","8e26f99ab723eb4ccb1db93acc4ad6bbd84797aef4d1003f70dffafd35d0bcc1","true","false","OFFICIAL_LINQS_DATASET_PAGE_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_LINQS_DATASET_PAGE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","LINQS LICENSE LINK PRESENT; DERIVED ARTIFACT TERMS REQUIRE CHECK","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MATLAB v7.3/HDF5","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Coauthor CS","Coauthor CS","GRAPH_GEOMETRY_8","18333","15","https://github.com/shchur/gnn-benchmark/blob/master/data/npz/ms_academic_cs.npz","n=18333; c=15; format=NumPy/SciPy standardized sparse NPZ","feature: constant removal,row-L2,TruncatedSVD<=300,z-score; graph: max-symmetrize,remove diagonal,normalized spectral","coauthor_cs","11aaed52f74396884fd07f57266279d38a297c737f264964a4d27e391351f905","true","false","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","UNDERLYING DATA REDISTRIBUTION NOT_CLEARED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","NumPy/SciPy standardized sparse NPZ","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Coauthor Physics","Coauthor Physics","GRAPH_GEOMETRY_8","34493","5","https://github.com/shchur/gnn-benchmark/blob/master/data/npz/ms_academic_phy.npz","n=34493; c=5; format=NumPy/SciPy standardized sparse NPZ","feature: constant removal,row-L2,TruncatedSVD<=300,z-score; graph: max-symmetrize,remove diagonal,normalized spectral","coauthor_physics","37b18f297a03d22594c592c1c73edf4713587e8a433919fd846e8d1fcad2aeec","true","false","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","UNDERLYING DATA REDISTRIBUTION NOT_CLEARED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","NumPy/SciPy standardized sparse NPZ","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"COIL100","COIL100","NEW10","7200","100","http://www1.cs.columbia.edu/CAVE/software/softlib/coil-100.php","n=7200; c=100; format=MAT","per-view invalid median replacement; constant removal; z-score","coil100","b0f069aa9ed61558170ea978dd3fd7379c3934a3a72580d6505a985a22647d57","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MAT","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"COIL20","COIL20","BKCC_V2","1440","20","","n=1440; c=20; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","coil20","","true","false","LOCAL_CONTRACT_ONLY","PROJECT_NAME_RETAINED","LOCAL_CONTRACT_ONLY","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Cora","Cora","CONTENT_RELATION_8","2708","7","https://linqs.org/datasets/#cora","n=2708; c=7; format=classic MATLAB","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","cora","cc5976f207ca89354321026115df41e520956883b3e4946f0a4d56be13359a2d","true","false","OFFICIAL_LINQS_DATASET_PAGE_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_LINQS_DATASET_PAGE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","LINQS LICENSE LINK PRESENT; DERIVED ARTIFACT TERMS REQUIRE CHECK","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","classic MATLAB","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"CoraFull","CoraFull","GRAPH_GEOMETRY_8","19793","70","https://github.com/shchur/gnn-benchmark/blob/master/data/npz/cora_full.npz","n=19793; c=70; format=NumPy/SciPy standardized sparse NPZ","feature: constant removal,row-L2,TruncatedSVD<=300,z-score; graph: max-symmetrize,remove diagonal,normalized spectral","corafull","79f0aa26e2152c504972a744d4251cf92176ba6c6e9054430315210feeeac188","true","false","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_STANDARDIZED_ARCHIVE_FILE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","UNDERLYING DATA REDISTRIBUTION NOT_CLEARED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","NumPy/SciPy standardized sparse NPZ","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"DBLP","DBLP","MULTI_RELATION_7","4057","4","https://github.com/cynricfu/MAGNN/tree/master/model/data/preprocessed/DBLP_processed.zip","n=4057; c=4; format=MAGNN ZIP (NumPy/SciPy sparse)","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","dblp","78398fda8142047a83956f4145855ab44082c74cf9dcc3874d3ac7f985a14f62","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MAGNN ZIP (NumPy/SciPy sparse)","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Extended Yale-B","Extended Yale-B","NEW10","2414","38","","n=2414; c=38; format=public MATLAB BP pools (BPs,Y)","none; full 20-partition mixed pool consumed directly","extended_yale_b","","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","public MATLAB BP pools (BPs,Y)","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Handwritten","Handwritten","TEXT_MV","2000","10","https://archive.ics.uci.edu/dataset/72/multiple%2Bfeatures","n=2000; c=10; format=classic_mat","per-view invalid median replacement; constant removal; z-score","handwritten","71f3e7c6be52ea5f2eb8b636f3489c6999d957155bfc7145033e9df3befd4133","true","true","OFFICIAL_SOURCE_AND_PUBLIC_SCHEMA_VERIFIED","PROJECT_NAME_RETAINED","OFFICIAL_SOURCE_AND_PUBLIC_SCHEMA_VERIFIED","LOCAL_SOURCE_SHA256_RECORDED_AND_GENERATED_BP_PROTOCOL_FIXED","CC BY 4.0 (UCI record)","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","classic_mat","LOW","Best-closed dataset provenance among Core-10; derived BP files remain project artifacts rather than UCI originals."
"Human Kidney","Human Kidney","BKCC_V2","2100","11","","n=2100; c=11; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","human_kidney","","true","false","LOCAL_CONTRACT_ONLY","PROJECT_NAME_RETAINED","LOCAL_CONTRACT_ONLY","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"IMDB","IMDB","MULTI_RELATION_7","4278","3","https://github.com/cynricfu/MAGNN/tree/master/model/data/preprocessed/IMDB_processed.zip","n=4278; c=3; format=MAGNN ZIP (NumPy/SciPy sparse)","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","imdb","911788fbec8d50039dc3453c23b06c20e4ffce1ac662b57a45a7ca6d08c31463","true","false","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","PROJECT_NAME_RETAINED","RECORDED_SOURCE_NOT_INDEPENDENTLY_VERIFIED_THIS_AUDIT","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MAGNN ZIP (NumPy/SciPy sparse)","MEDIUM","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"LandUse-21","LandUse-21","NEW10","2100","21","https://github.com/XLearning-SCU/2026-CVPR-BML","n=2100; c=21; format=MAT","per-view invalid median replacement; constant removal; z-score","landuse_21","6441fc42e84a83729e5a6436f4c1544dcc3fe115558458495b165677a732b67f","true","false","PUBLIC_REPOSITORY_AND_DATASET_NAME_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_REPOSITORY_AND_DATASET_NAME_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","CODE MIT; DATA REDISTRIBUTION REQUIRES SEPARATE CHECK","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","MAT","MEDIUM","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
"Letter","Letter","BKCC_V2","20000","26","","n=20000; c=26; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","letter","","true","false","LOCAL_CONTRACT_ONLY","PROJECT_NAME_RETAINED","LOCAL_CONTRACT_ONLY","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Golub-1999-ALL-AML-derived","Leukemia","BKCC_V2","72","2","https://doi.org/10.1126/science.286.5439.531","72 samples; binary ALL/AML; 7070 processed features in the local BP source contract","supplied BP matrices; three disjoint 20-column pools","leukemia","","true","true","FAMILY_MATCH_PROVISIONAL; EXACT_7070_FEATURE_PROCESSED_ARTIFACT_UNVERIFIED","PROVISIONAL_DERIVED_NAME","UPSTREAM_EXACT_SOURCE_NOT_VERIFIED","LOCAL_BP_ARCHIVE_ENTRY_VALIDATED_BY_SIZE_AND_CRC_ONLY","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The 72-sample binary task matches the Golub-1999 ALL/AML family, but the local 7070-feature processing lineage has not been closed against the original 7129-probe data."
"Armstrong-2002-ALL-AML-MLL","Leukemia2","NEW10","72","3","https://doi.org/10.1038/ng765","72 samples; 11225 processed gene variables; ALL/AML/MLL three-class benchmark","per-view invalid median replacement; constant removal; z-score","leukemia2","0bb9369fa776b1c78e67cf9fbf78ce9cac0a84b0e84cee8df79907c5f96a90ae","true","true","BENCHMARK_DIMENSIONS_AND_TASK_MATCH; EXACT_UPSTREAM_BYTE_LINEAGE_UNVERIFIED","SUPPORTED_BENCHMARK_FAMILY","PUBLIC_FILE_LOCATION_VERIFIED_AUTHORITATIVE_ORIGIN_NOT_VERIFIED","LOCAL_SOURCE_FILE_SHA256_RECORDED_AND_GENERATED_BP_PROTOCOL_FIXED","REPOSITORY LICENSE_NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","ARFF","HIGH","The local 72x11225 three-class ARFF matches the published Leukemia2 benchmark contract associated with Armstrong-2002; byte-level lineage from the original upstream artifact remains unverified."
"MFeat-pix","MFeat-pix","BKCC_V2","2000","10","","n=2000; c=10; format=MAT entries inside ZIP","supplied BP matrices; three disjoint 20-column pools","mfeat_pix","","true","false","LOCAL_CONTRACT_ONLY","PROJECT_NAME_RETAINED","LOCAL_CONTRACT_ONLY","ARCHIVE_ENTRY_PATH_SIZE_CRC_VALIDATED_NO_ARCHIVE_SHA256","NOT_VERIFIED","SUPPLIED_MATRIX_LKM_CDKM_FIXED_COLUMN_BLOCKS","MAT entries inside ZIP","HIGH","The row establishes the locally recorded source contract, not an independently verified public artifact identity."
"Movies617","Movies617","CONTENT_RELATION_8","617","17","https://github.com/ChuanbinZhang/Multi-view-datasets/blob/master/Movies.mat","n=617; c=17; format=classic MATLAB","feature views: frozen NEW10 z-score pipeline; graph views: uniform normalized spectral protocol","movies617","7922e27da06361c0d74b5dd6477e6485d1f73a96cf0164e280e5b38864ffcbad","true","false","PUBLIC_COLLECTION_FILE_VERIFIED","PROJECT_NAME_RETAINED","PUBLIC_COLLECTION_FILE_VERIFIED","LOCAL_SOURCE_HASH_RECORDED_IN_DATASET_INVENTORY","COLLECTION/DATA LICENSE NOT_VERIFIED","GENERATED_FIXED_PROTOCOL_FROM_HASHED_LOCAL_SOURCE","classic MATLAB","HIGH","Public page/file was independently located on 2026-09-20; exact processed-artifact identity remains governed by the local hash/contract field."
