dataset,pool,group,n,c,M,bp_sha256,matches_V2_metadata,V2_BP_hash_available
Extended Yale-B,1,NEW10,2414,38,20,0ea3efae99ce2e9062c0856a27a10fb911890fea40c30c9e7c6e36dff03981fc,True,False
Extended Yale-B,2,NEW10,2414,38,20,1653d1bb3c3cea74119745db5b8383b0033451dabfd4aead1074c94fd4503c5b,True,False
Handwritten,0,TEXT_MV,2000,10,20,8efc53ff490961cd092467e88a7f56f798b07f7c71356a1ddca3ce0894601ae8,True,False
Handwritten,1,TEXT_MV,2000,10,20,a5aaefe4a1058492944092a7f78568b3ebebce02509c5b86114e28bcbd9a2ef2,True,False
Handwritten,2,TEXT_MV,2000,10,20,fb73eaa98b749f5018c84a430fc5b2cb8d12c9c387f480ab63baf540c38664cf,True,False
Human Kidney,0,BKCC_V2,2100,11,20,e7d75f644c94aca34f5112bd9a64666628494536d36b1e64346ac035cd71362e,True,False
Human Kidney,1,BKCC_V2,2100,11,20,cdcc30c9ed4dd75f3b1c5c26463414bacd28412ae65b9b1e2ff34cff4ecf77ee,True,False
Human Kidney,2,BKCC_V2,2100,11,20,fdffbc6286ddc19ab48ba186db79c8a220cf7aca7a7aecc49e71a081884b170c,True,False
IMDB,0,MULTI_RELATION_7,4278,3,20,8e3ecedcb46c7b3077511e5bd56ccdcd0b4c1e6039d44fcb2595cc70c3dd2c9b,True,False
IMDB,1,MULTI_RELATION_7,4278,3,20,074f904121671253f0a970b22cedd79a1cccd251484190e7572b32516d04c60e,True,False
IMDB,2,MULTI_RELATION_7,4278,3,20,c0184b68cb84f472509117af13ba9c719482294a2531967106a2d006608bafac,True,False
Isolet,0,BKCC_V2,1560,2,20,6bf158406c734dca731f6fb8c882b7764222b5eaaf87b8aadee99bc85c237164,True,False
Isolet,1,BKCC_V2,1560,2,20,88f3affca419287ee10f966c3034365e23473c1db2a7ba533fe139e2a23efc2f,True,False
Isolet,2,BKCC_V2,1560,2,20,1100967473b7640de1d0cca329acef27f6cf137365c5fa23429020e01f8f9490,True,False
LandUse-21,0,NEW10,2100,21,20,c63541b612b1211571be3da8af36e4239fa9b2b20b17ec4baed42c625bc5d0ba,True,False
LandUse-21,1,NEW10,2100,21,20,0a8d0fbc328a4bdd9b266e9ebdbf5be8b28304507c7a5440941359ee24cacf61,True,False
LandUse-21,2,NEW10,2100,21,20,850293ed07060a1a9819ef975c9bf30ca932d67ab67b4695c7e563b253e732f8,True,False
Letter,0,BKCC_V2,20000,26,20,fa3242923348092b9a2e33fa34a027882becdbc1047b9a1bcf413cfa90e06627,True,False
Letter,1,BKCC_V2,20000,26,20,5bfafe1285367d8bbff73a9226cf8d1b0eddb596cd690dbddfb7249f9f01a992,True,False
Letter,2,BKCC_V2,20000,26,20,2c7c985cc3e24ed5124f1fe1fa1063bb41a44d4414d197fe980da3a6f9512ce0,True,False
Leukemia,0,BKCC_V2,72,2,20,46211e2cad8a28f45d78d97d49ecef22debe9bf1c6ab1e1bfe63d67abaac6123,True,False
Leukemia,1,BKCC_V2,72,2,20,e93aaec600fc5254aca296920866214d96e6dc444bacbbc5dafaa50c6a8613c9,True,False
Leukemia,2,BKCC_V2,72,2,20,8bca8c3059788726464368cbe44d496c779f37aa4bc929df7fca3668be9139c1,True,False
Leukemia2,0,NEW10,72,3,20,a7d50fe0db885177cc43f70632ceac75e18a6a5a62b2d7460f31f74e471b48a6,True,False
Leukemia2,1,NEW10,72,3,20,5324c02163658d1edf92bc375ebcaa40038c2bb7ae68a9aeff076fd90cc47681,True,False
Leukemia2,2,NEW10,72,3,20,6f2890c7af16d64f162ae5bee8b03b1c30f3171a72ae0344b91fc107f0ff76f5,True,False
MFeat-pix,0,BKCC_V2,2000,10,20,2af26b9b1718d2bda5287c269e4e597dc61ee28fd0eae90ef563f199ff666579,True,False
MFeat-pix,1,BKCC_V2,2000,10,20,7276fe905eb60efbce3e9e962ebf78037e4e57779bb54176a00b85e45295c360,True,False
MFeat-pix,2,BKCC_V2,2000,10,20,3ff7ebef55e27bb0caeba93c6e008605c9b554820ad6b5b2756bc1d3aaecd191,True,False
MSRC-v1,0,TEXT_MV,210,7,20,a1b29b4bd524e82aae4fb01522e1e74f0a7b8fbf29d67b292fb2f4feec8c371e,True,False
MSRC-v1,1,TEXT_MV,210,7,20,320478f6263429f94eddede7875620d07124792bbeeac08e6320f297328b8842,True,False
MSRC-v1,2,TEXT_MV,210,7,20,06da2d909c791132b679869d9d1690904a9c8ad01711c1cb19a734ac8061eb6b,True,False
Movies617,0,CONTENT_RELATION_8,617,17,20,e9202b0ab2382c00139055623ee489a52a80a525ddb036b1b228f5b350f04e35,True,False
Movies617,1,CONTENT_RELATION_8,617,17,20,67caf53ddce95322cc55640c084ffcd73af3648f89d1c6579b7a6764cc3a8f05,True,False
Movies617,2,CONTENT_RELATION_8,617,17,20,e09a1dfbd49cc13fa8c7c70877221fe504d1047d59f9780bb2e1261e3f9e19ce,True,False
NGs,0,TEXT_MV,500,5,20,c6bd2c6a41109044ec8cbdce9e427f3860281ccb059e92ae52b2a7e0808677a0,True,False
NGs,1,TEXT_MV,500,5,20,0cbf2b7e1ee813ddd227a3ae00a295c7387259aac3045e5cd1a232483d96bfe0,True,False
NGs,2,TEXT_MV,500,5,20,04c97f62d03d525dd46bd04c71c08d69b7a7d93bec8e5fa606f05ee58caba574,True,False
NUSWIDE-Object-2000,0,TEXT_MV,2000,31,20,9ac571fbe685d80eb5196f4a26426c731e482643957a94e1a80d3d201b3b4314,True,False
NUSWIDE-Object-2000,1,TEXT_MV,2000,31,20,d2e0140edc90c3ca8c7470799d52fc2e7a6f48201b010b6636e0ec4a0b755773,True,False
NUSWIDE-Object-2000,2,TEXT_MV,2000,31,20,3330cd1ed2e0b2297bf3c1bc9baa64cce64b4fb26a3a2e65b367fbb64cd09a4a,True,False
ORL,0,MULTI_RELATION_7,400,40,20,4e5eb8850fb0482920ae5475cfac58e9b8d20be3fe0b28dd4d9f6e0c7e289c72,True,False
ORL,1,MULTI_RELATION_7,400,40,20,e9ffd106eae8e47af4f76e564d85762dcbaa35d253533770f1f98bf2d2703346,True,False
ORL,2,MULTI_RELATION_7,400,40,20,832be6e78647a55010efeda7eb0858808c97ea3b6dcc56341f715ae3cddb2f00,True,False
PubMed,0,GRAPH_GEOMETRY_8,19717,3,20,d4b498a54002d53084063742f921337cd02c928a4f2f397f0962d19c4cdb38a6,True,False
PubMed,1,GRAPH_GEOMETRY_8,19717,3,20,7eb72914da7061bf652397e16ceb05d67302ec290507fb2a1aa24b489428d692,True,False
PubMed,2,GRAPH_GEOMETRY_8,19717,3,20,efb0862fae83260202613710cb53a2d561f3391b4f281b1fbc1addecaf6aafdb,True,False
Reuters,0,NEW10,1500,6,20,69d21783a62357c5e13226a5a14e09ba83bbae254dc5fb2da19789f3b625144b,True,False
Reuters,1,NEW10,1500,6,20,c967a01e1f7bf97e90d510496cb8a09f7072dd6d3f85c81b966bd819e4967a68,True,False
Reuters,2,NEW10,1500,6,20,d231e9379697f33557eca07ba6571c3f1a5799341d2141036c362503e4558d4b,True,False
Scene15,0,NEW10,4485,15,20,be31a6880bc89eb6096217975cdfe61c05fbdaae51a4cc7a351758600435f2c8,True,False
Scene15,1,NEW10,4485,15,20,f3a415eec96ec819c8076b00bf5d4e1d8c08a4c90c31d0f5c1e93cbbc28f8cb3,True,False
Scene15,2,NEW10,4485,15,20,f2c86f72f2735a6888ed927f70fef4a623ad6d00b46ea5dcbb5a6e1ca15d6360,True,False
Squirrel,0,GRAPH_GEOMETRY_8,5201,5,20,e7ee773fe4af819d2926429b95fda6b3f4d2f55279c7f9826566b07296aa1c2b,True,False
Squirrel,1,GRAPH_GEOMETRY_8,5201,5,20,0a45e0c529c62702498aee46357989a887ffce669527f2612d0e58cdb631eef0,True,False
Squirrel,2,GRAPH_GEOMETRY_8,5201,5,20,97673e206f68b6a3cfe1e38333e75d4222438d5ac4424e2a2f8b9c622c87e3c6,True,False
UMIST,0,NEW10,575,20,20,73a28c1538c0c1c9f68b65baca85be02183f35f54dfc9ecf4043294d82777260,True,False
UMIST,1,NEW10,575,20,20,500a22db82a3543a8c8fb0af5d17b3f2290298eea80cac2374e470eaa9ddbd1e,True,False
UMIST,2,NEW10,575,20,20,244e42fa73b91d68be99fddc9383988e8b21bfbc9819a404b46b9f0f9e8b560f,True,False
USPS3568,0,BKCC_V2,3082,4,20,8524860c8d77d6138fcdac1666683e30af623ef5ee94dea6fa83e9906d1fac9f,True,False
USPS3568,1,BKCC_V2,3082,4,20,ea30042ce78bd3d748c9aefe9920d03b0ea93ae8b23fcf08cf6cca54d91705e0,True,False
USPS3568,2,BKCC_V2,3082,4,20,3dea0fc34a8c1ded4b8a0835fbc4633ae167c4bea016ccbbb3b7f590c9df7fbf,True,False
WebKB,0,TEXT_MV,1051,2,20,243203424be356f689469a887fc3f647c5374c7a637af5f94dd714465ac80428,True,False
WebKB,1,TEXT_MV,1051,2,20,7ae47f5b86ba535f15f193f5f0fc7decf2a940e07637fd87cd6ea5e13cfb3d73,True,False
WebKB,2,TEXT_MV,1051,2,20,b641041280946f55d636a28a548d6caefc73bbd255eba218fbfc5a2d76901a80,True,False
WebKB-Cornell,0,CONTENT_RELATION_8,195,5,20,0927a3ea2231b3932a54106c7cacdb102c3f03b48fd5a2217de504f4923dab88,True,False
WebKB-Cornell,1,CONTENT_RELATION_8,195,5,20,31fe2e2b37a5638c8434b01fb21742dfdc42fcd8912d566d0a922f5b5ce4911a,True,False
WebKB-Cornell,2,CONTENT_RELATION_8,195,5,20,d4897edb32d4c0cdad08435c8d62b2c731bef576e180072a05575496b0c18c58,True,False
WebKB-Texas,0,CONTENT_RELATION_8,187,5,20,f15997ddaf53b4deead270fa438e24a3c339ebef757e4ff2adaf6936088f1f1d,True,False
WebKB-Texas,1,CONTENT_RELATION_8,187,5,20,58f0e3432a785995757c5e74a18d50a6f6e78339348e040719d467bd12ebcc78,True,False
WebKB-Texas,2,CONTENT_RELATION_8,187,5,20,61c79c3e9fd120af9897e053922f3f45358997eeefa4f18d9398001e6c0a76e9,True,False
WebKB-Washington,0,CONTENT_RELATION_8,230,5,20,2becf9c5917db86ba3771b546d1a2d59abf11f3391f1347ace4aebcae1d15e9a,True,False
WebKB-Washington,1,CONTENT_RELATION_8,230,5,20,0706cb10024c41f76250bc6bb51213cd0a55f653759f9fa886a7939fe4004d6c,True,False
WebKB-Washington,2,CONTENT_RELATION_8,230,5,20,f45e086511060ffe5211e037eca04faeaf00f827a257eef4c44518d240f08700,True,False
WebKB-Wisconsin,0,CONTENT_RELATION_8,265,5,20,58f5febd49d82512386a1db5ac4538a9ec2e2f5eab68f49511b431f87900215c,True,False
WebKB-Wisconsin,1,CONTENT_RELATION_8,265,5,20,a71453d425080b0f06e7e6ee44ace1359686d7e2844e5d1ffca079fb20f9a560,True,False
WebKB-Wisconsin,2,CONTENT_RELATION_8,265,5,20,e8743d50bf3cbe226a2e26a6683211462a039bb3f731c46bf52bf759dd121301,True,False
Wiki,0,TEXT_MV,2866,10,20,c46da1d69e393bee6cdcda784aea32db63efbb577e16ba1296d8fe0d459bb0e5,True,False
Wiki,1,TEXT_MV,2866,10,20,f632f39641693fc47ff684e63b693f8a227a487fda5865b2bda8fbd0fe9a2171,True,False
Wiki,2,TEXT_MV,2866,10,20,46c343601cf703b5b56eba5cdc7872c557e98a4a2942a583055775f0b3b63f88,True,False
WikiCS,0,GRAPH_GEOMETRY_8,11701,10,20,ad9850688867991766f1cc733726f55ebf0b0d473508decc193eb3ca0572c589,True,False
WikiCS,1,GRAPH_GEOMETRY_8,11701,10,20,6df568b2d25e98c0794df1931d171ae72126c4a883350eb235e531241d0569e3,True,False
WikiCS,2,GRAPH_GEOMETRY_8,11701,10,20,5b4704b80fa7af09aaa11d8c4cfd7c326f1af0a32c8069f4cf6b8433b903d57e,True,False
Worm Neuron,0,BKCC_V2,4186,10,20,f6e972ab1a651f72bbb72fef6bcff41bcbcdcc8c4b8727fc2e71a2a89bbedc76,True,False
Worm Neuron,1,BKCC_V2,4186,10,20,1d989e5c3bc774bea45758084398fe6d9fd2fc2fdafc3e912434a1e643539881,True,False
Worm Neuron,2,BKCC_V2,4186,10,20,7898911dcd03685eab485d45a68ada7d2f16b35896d1d6f77d9c1024224e6525,True,False
